target_end_date,location,location_name,anomaly
2022-01-22,AT,Austria,large data revision
2022-01-29,AT,Austria,large data revision
2022-03-26,AT,Austria,large data revision
2022-04-02,AT,Austria,large data revision
2022-04-09,AT,Austria,large data revision
2022-04-16,AT,Austria,large data revision
2022-04-30,AT,Austria,large data revision
2022-01-22,FI,Finland,large data revision
2022-01-22,DE,Germany,large data revision
2022-01-29,DE,Germany,large data revision
2022-03-26,DE,Germany,large data revision
2022-01-22,LT,Lithuania,large data revision
2022-01-29,LT,Lithuania,large data revision
2022-02-05,LT,Lithuania,large data revision
2022-02-12,LT,Lithuania,large data revision
2022-02-19,LT,Lithuania,large data revision
2022-02-26,LT,Lithuania,large data revision
2022-03-05,LT,Lithuania,large data revision
2022-03-12,LT,Lithuania,large data revision
2022-03-19,LT,Lithuania,large data revision
2022-03-26,LT,Lithuania,large data revision
2022-04-02,LT,Lithuania,large data revision
2022-04-09,LT,Lithuania,large data revision
2022-04-16,LT,Lithuania,large data revision
2022-04-23,LT,Lithuania,large data revision
2022-04-30,LT,Lithuania,large data revision
2022-05-07,LT,Lithuania,large data revision
2022-05-14,LT,Lithuania,large data revision
2022-05-21,LT,Lithuania,large data revision
2022-05-28,LT,Lithuania,large data revision
2022-06-04,LT,Lithuania,large data revision
2022-06-11,LT,Lithuania,large data revision
2022-06-18,LT,Lithuania,large data revision
2022-06-25,LT,Lithuania,large data revision
2022-05-14,LU,Luxembourg,large data revision
2022-05-21,LU,Luxembourg,large data revision
2022-05-28,LU,Luxembourg,large data revision
2022-02-19,NL,Netherlands,large data revision
2022-02-26,NL,Netherlands,large data revision
2022-03-05,NL,Netherlands,large data revision
2022-02-12,PL,Poland,large data revision
2022-02-19,PL,Poland,large data revision
2022-02-05,PT,Portugal,large data revision
2022-02-12,PT,Portugal,large data revision
2022-02-19,PT,Portugal,large data revision
2022-02-26,PT,Portugal,large data revision
2022-03-12,PT,Portugal,large data revision
2022-03-19,PT,Portugal,large data revision
2022-03-26,PT,Portugal,large data revision
2022-04-16,PT,Portugal,large data revision
2022-04-23,PT,Portugal,large data revision
2022-04-30,PT,Portugal,large data revision
2022-05-07,PT,Portugal,large data revision
2022-05-14,PT,Portugal,large data revision
2022-05-21,PT,Portugal,large data revision
2022-06-18,RO,Romania,large data revision
2022-02-05,ES,Spain,large data revision
2022-02-12,ES,Spain,large data revision
2022-04-09,ES,Spain,large data revision
2022-04-16,ES,Spain,large data revision
2022-04-23,ES,Spain,large data revision
2022-04-30,ES,Spain,large data revision
2022-05-07,ES,Spain,large data revision
